Snail,Temperature,avgSpeed,avgSpeedMM
1,13,129.29,1.368148148
1,13,68.327,0.723037037
1,13,89.51,0.947195767
1,13,135.249,1.431206349
1,13,190.668,2.017650794
1,13,154.111,1.630804233
1,13,174.027,1.841555556
1,13,102.903,1.088920635
1,13,157.139,1.662846561
1,13,132.075,1.397619048
1,13,146.398,1.549185185
1,13,152.92,1.618201058
1,13,92.866,0.982708995
1,13,87.331,0.924137566
1,13,73.417,0.776899471
1,13,204.303,2.161936508
1,13,204.496,2.163978836
1,13,127.728,1.351619048
1,13,111.268,1.177439153
1,13,249.496,2.640169312
1,13,184.884,1.956444444
1,13,196.631,2.080751323
1,13,54.527,0.577005291
1,13,18.275,0.193386243
1,13,63.491,0.671862434
1,13,155.247,1.642825397
1,13,18.148,0.192042328
1,13,25.161,0.266253968
1,13,34.827,0.368539683
1,13,55.533,0.587650794
1,13,84.038,0.889291005
1,13,106.529,1.127291005
1,13,141.582,1.498222222
1,13,39.572,0.418751323
1,13,92.527,0.979121693
1,13,107.292,1.135365079
1,13,31.706,0.335513228
1,13,88.569,0.937238095
1,13,143.784,1.52152381
1,13,69.431,0.734719577
1,13,119.709,1.266761905
1,13,56.072,0.593354497
1,13,136.214,1.441417989
1,13,173.073,1.831460317
1,13,54.442,0.57610582
1,13,147.694,1.562899471
1,13,83.436,0.882920635
1,13,132.81,1.405396825
1,13,230.59,2.44010582
1,13,201.622,2.133566138
1,13,187.047,1.979333333
1,13,54.63,0.578095238
1,13,77.569,0.820835979
1,13,153.773,1.627227513
1,13,90.27,0.955238095
1,13,114.861,1.215460317
1,13,102.496,1.084613757
1,13,135.542,1.434306878
1,13,211.374,2.236761905
1,13,117.387,1.242190476
1,16,206.238,2.182412698
1,16,241.931,2.560116402
1,16,202.081,2.13842328
1,16,289.114,3.059407407
1,16,262.876,2.781756614
1,16,214.153,2.266169312
1,16,249.06,2.635555556
1,16,259.625,2.747354497
1,16,155.862,1.649333333
1,16,127.801,1.352391534
1,16,143.962,1.523407407
1,16,212.927,2.253195767
1,16,220.206,2.330222222
1,16,213.76,2.262010582
1,16,230.274,2.436761905
1,16,230.479,2.438931217
1,16,230.097,2.434888889
1,16,248.755,2.632328042
1,16,251.768,2.66421164
1,16,157.758,1.669396825
1,16,196.025,2.074338624
1,16,163.249,1.727502646
1,16,195.43,2.068042328
1,16,244.211,2.584243386
1,16,168.397,1.781978836
1,16,248.313,2.627650794
1,16,190.803,2.019079365
1,16,89.764,0.949883598
1,16,211.305,2.236031746
1,16,160.65,1.7
1,16,154.937,1.639544974
1,16,186.235,1.970740741
1,16,224.383,2.37442328
1,16,259.629,2.747396825
1,16,210.581,2.22837037
1,16,196.145,2.075608466
1,16,136.3,1.442328042
1,16,167.668,1.77426455
1,16,225.214,2.383216931
1,16,184.029,1.947396825
1,16,162.92,1.724021164
1,16,281.339,2.977132275
