Order,Type,ID,Block,AccInc,AccTemp,Stage,Mass,PerfRound,PrevTemp,PerfTemp,PerfInc,TimeStart,O2Start,AvgO2Start,TempStart,TimeStop,O2Stop,TempStop,Time,O2,O2/Time,O2/Time/Mass,corO2/Time/Mass
1,tad,T2,1,1,22,30,1.047,1,22,13,P29,10:44,,10.66333333,,11:36,10.52,11.7,52,0.143333333,0.00275641,0.002632675,0.001500625
2,tad,T12,1,2,28,25,0.305,1,28,13,P29,10:49,,10.66333333,,11:41,10.64,11.4,52,0.023333333,0.000448718,0.001471206,0.000838587
3,tad,T54,1,7,13,25,0.285,1,13,13,P29,10:54,,10.66333333,,11:44,10.66,11.4,50,0.003333333,6.67E-05,0.000233918,0.000133333
4,control,C2,1,NA,NA,NA,NA,1,NA,13,P29,10:48,10.63,10.66333333,11.4,11:39,10.67,11.6,51,-0.006666667,-0.000130719,,
5,control,C12,1,NA,NA,NA,NA,1,NA,13,P29,10:53,10.68,10.66333333,11.3,11:43,10.66,11.5,50,0.003333333,6.67E-05,,
6,control,C54,1,NA,NA,NA,NA,1,NA,13,P29,10:56,10.68,10.66333333,11.3,11:46,10.68,11.4,50,-0.016666667,-0.000333333,,
7,tad,T7,1,1,22,26,0.783,1,22,16,P31,12:08,,9.663333333,,13:04,9.61,14.4,56,0.053333333,0.000952381,0.001216323,0.000693304
8,tad,T11,1,2,28,26,0.36,1,28,16,P31,12:13,,9.663333333,,13:07,9.61,14.5,54,0.053333333,0.000987654,0.002743484,0.001563786
9,tad,T55,1,7,13,26,0.486,1,13,16,P31,12:17,,9.663333333,,13:10,9.62,14.5,53,0.043333333,0.00081761,0.001682325,0.000958925
10,control,C7,1,NA,NA,NA,NA,1,NA,16,P31,12:10,9.65,9.663333333,14.4,13:06,9.67,14.3,56,-0.006666667,-0.000119048,,
11,control,C11,1,NA,NA,NA,NA,1,NA,16,P31,12:15,9.67,9.663333333,14.4,13:09,9.66,14.4,54,0.003333333,6.17E-05,,
12,control,C55,1,NA,NA,NA,NA,1,NA,16,P31,12:19,9.67,9.663333333,14.3,13:11,9.67,14.4,52,-0.006666667,-0.000128205,,
13,tad,T5,1,1,22,26,0.621,1,22,19,P32,12:22,,9.083333333,,13:13,9.03,17.5,51,0.053333333,0.001045752,0.00168398,0.000959869
14,tad,T10,1,2,28,26,0.491,1,28,19,P32,12:27,,9.083333333,,13:17,9,17.7,50,0.083333333,0.001666667,0.003394433,0.001934827
15,tad,T52,1,7,13,26,0.987,1,13,19,P32,12:32,,9.083333333,,13:22,8.92,17.6,50,0.163333333,0.003266667,0.003309693,0.001886525
16,control,C5,1,NA,NA,NA,NA,1,NA,19,P32,12:25,9.1,9.083333333,17.5,13:15,9.05,17.5,50,0.033333333,0.000666667,,
17,control,C10,1,NA,NA,NA,NA,1,NA,19,P32,12:29,9.08,9.083333333,17.2,13:19,9.09,17.6,50,-0.006666667,-0.000133333,,
18,control,C52,1,NA,NA,NA,NA,1,NA,19,P32,12:35,9.07,9.083333333,17.2,13:25,9.05,17.4,50,0.033333333,0.000666667,,
19,tad,T8,1,1,22,27,1.185,1,22,22,P27,9:22,,8.466666667,,10:12,8.32,20.9,50,0.146666667,0.002933333,0.002475387,0.001410971
20,tad,T13,1,2,28,27,1.876,1,28,22,P27,9:28,,8.466666667,,10:19,8.36,21.1,51,0.106666667,0.002091503,0.001114874,0.000635478
21,tad,T56,1,7,13,27,1.122,1,13,22,P27,9:32,,8.466666667,,10:22,8.28,21,50,0.186666667,0.003733333,0.003327392,0.001896613
22,control,C8,1,NA,NA,NA,NA,1,NA,22,P27,9:27,8.46,8.466666667,,10:17,8.46,21,50,0.006666667,0.000133333,,
